frame,start_time,end_time,age,gen,emotion,age_classes,severity_score
968,64.48960220000001,64.5562688,35,M,Sad,2,2
969,64.5562688,64.6229354,36,M,Sad,2,2
1026,68.356265,68.4229316,31,F,Sad,2,2
1059,70.5562628,70.62292939999999,35,F,Sad,2,2
1060,70.62292939999999,70.68959600000001,34,F,Sad,2,2
1061,70.68959600000001,70.7562626,35,F,Sad,2,2
1062,70.7562626,70.8229292,35,F,Sad,2,2
1064,70.8895958,70.9562624,36,F,Sad,2,2
1065,70.9562624,71.022929,36,M,Sad,2,2
1066,71.022929,71.0895956,33,F,Sad,2,2
1067,71.0895956,71.1562622,37,M,Sad,2,2
1088,72.48959420000001,72.5562608,34,F,Sad,2,2
1089,72.5562608,72.6229274,33,F,Sad,2,2
1127,75.0895916,75.1562582,37,M,Sad,2,2
1128,75.1562582,75.22292479999999,35,M,Sad,2,2
1132,75.4229246,75.48959119999999,32,M,Sad,2,2
1155,76.9562564,77.02292299999999,33,M,Sad,2,2
1162,77.4229226,77.4895892,34,M,Sad,2,2
1163,77.4895892,77.5562558,33,M,Sad,2,2
1164,77.5562558,77.6229224,33,M,Sad,2,2
1165,77.6229224,77.68958900000001,33,M,Sad,2,2
10,0.6229994000000001,0.689666,37,M,Sad,2,2
118,7.8229922,7.8896588,42,M,Neutral,3,1
135,8.9563244,9.022991,32,M,Sad,2,2
136,9.022991,9.0896576,33,M,Neutral,2,1
137,9.0896576,9.156324199999998,34,M,Happy,2,1
138,9.156324199999998,9.2229908,35,M,Neutral,2,1
186,12.356321,12.4229876,40,M,Neutral,3,1
197,13.0896536,13.1563202,37,M,Neutral,2,1
199,13.2229868,13.2896534,36,M,Neutral,2,1
200,13.2896534,13.35632,39,M,Neutral,2,1
201,13.35632,13.4229866,35,M,Neutral,2,1
280,18.6229814,18.689648,35,M,Sad,2,2
281,18.689648,18.756314600000003,36,M,Sad,2,2
282,18.756314600000003,18.8229812,37,M,Sad,2,2
283,18.8229812,18.8896478,37,M,Sad,2,2
310,20.6229794,20.689646,37,M,Neutral,2,1
313,20.8229792,20.8896458,38,M,Neutral,2,1
314,20.8896458,20.9563124,36,M,Neutral,2,1
653,43.4896232,43.5562898,35,F,Happy,2,1
683,45.4896212,45.5562878,35,M,Neutral,2,1
706,47.022953,47.0896196,37,M,Neutral,2,1
707,47.0896196,47.1562862,38,M,Neutral,2,1
708,47.1562862,47.2229528,39,M,Neutral,2,1
709,47.2229528,47.28961940000001,37,M,Neutral,2,1
710,47.28961940000001,47.356286,39,M,Neutral,2,1
711,47.356286,47.4229526,40,M,Neutral,3,1
712,47.4229526,47.4896192,39,M,Neutral,2,1
713,47.4896192,47.5562858,39,M,Neutral,2,1
714,47.5562858,47.6229524,37,M,Sad,2,2
734,48.8896178,48.9562844,37,M,Sad,2,2
745,49.6229504,49.689617,36,M,Sad,2,2
746,49.689617,49.7562836,37,M,Sad,2,2
